protected,verified,location,followers_count,following_count,tweet_count,listed_count,has_profile_image,isBot,un_no_of_char,un_special_char,name_no_of_char,name_special_char,des_no_of_usertags,des_no_of_hashtags,des_external_links,has_description,has_url,account_age_in_days,average_tweets_per_day,followers_following_count
0,0,0,152,0,45854,3,0,0,15,0,15,0,0,0,0,0,0,4723,9.708659750158798,0
0,0,1,255,343,13036,5,1,0,9,0,10,0,0,0,0,1,0,4763,2.736930505983624,87465
0,0,1,144,139,928,8,1,0,14,0,13,0,0,0,0,1,0,4849,0.19137966591049702,20016
0,0,0,1338,656,40620,0,1,0,10,1,10,0,0,0,0,1,1,4290,9.468531468531468,877728
0,0,1,729,681,26690,22,1,0,11,0,8,0,0,1,0,1,1,5080,5.253937007874016,496449
0,0,1,124,1065,109,1,1,1,13,0,13,0,0,0,0,1,1,3147,0.03463616142357801,132060
0,0,1,790,1418,9600,21,1,0,12,0,19,0,0,0,0,1,0,4886,1.9647973802701597,1120220
0,0,0,5,42,504,0,0,0,7,0,11,0,0,0,0,0,0,4724,0.10668924640135478,210
0,0,0,101,966,94,0,1,1,13,0,13,0,0,0,0,1,1,3139,0.029945842625039822,97566
0,0,0,25,148,81,0,1,1,13,0,13,0,0,1,0,1,1,3133,0.025853814235556973,3700
0,1,1,150414,450,20143,240,1,1,5,0,5,0,1,0,0,1,1,4029,4.999503598907918,67686300
0,0,0,316,1268,18749,3,1,1,13,0,13,0,0,0,0,1,0,3522,5.323395797842135,400688
0,0,1,949,1,527242,11,1,0,8,0,9,0,0,0,0,1,1,4821,109.36361750674133,949
0,0,0,14,6,0,0,0,0,6,0,9,0,0,0,0,0,0,4772,0.0,84
0,0,1,91,390,6482,0,1,0,8,0,14,0,0,0,0,0,0,4897,1.323667551562181,35490
1,0,1,56,284,358,3,1,0,7,0,16,0,0,0,0,0,0,4913,0.07286790148585386,15904
0,0,1,1183,1733,5982,28,1,0,14,0,14,0,0,0,0,1,1,5268,1.1355353075170842,2050139
0,0,1,251,446,15964,13,1,0,11,0,14,0,0,0,0,1,1,3714,4.2983306408185245,111946
0,0,1,2646,141,5142,99,1,0,10,1,10,0,0,0,0,1,1,5091,1.0100176782557455,373086
1,0,0,502,284,5955,7,1,0,7,0,6,0,0,0,0,0,0,4927,1.2086462350314593,142568
0,0,1,397,628,38633,12,1,0,10,1,11,1,0,0,0,0,0,4841,7.9803759553811195,249316
1,0,0,786,660,38060,4,1,0,6,0,5,0,0,0,0,1,0,3438,11.070389761489238,518760
0,0,1,444019,461,36657,884,1,0,9,0,5,0,0,0,0,1,1,4767,7.689741976085588,204692759
0,0,0,294,1079,112,1,1,0,9,0,7,0,0,0,0,0,0,4812,0.023275145469659187,317226
0,0,1,585,1639,32076,38,1,0,9,0,15,0,1,4,0,1,0,4972,6.451327433628318,958815
1,0,1,939,75,45672,1,1,0,11,0,2,0,0,0,0,1,0,3645,12.530041152263374,70425
0,0,0,72,5,3103,0,0,0,9,0,9,0,0,0,0,0,0,5121,0.6059363405584847,360
0,0,1,1365,2132,12722,33,1,0,13,0,17,0,0,0,0,1,1,5014,2.5372955723972876,2910180
0,0,1,1086,705,98954,11,1,0,10,0,4,0,0,0,0,1,1,3509,28.200056996295242,765630
0,0,1,494,544,8172,1,1,0,9,0,5,0,0,0,0,1,1,3298,2.477865372953305,268736
0,0,0,946,40,49808,5,1,0,6,1,1,0,0,0,0,0,0,4078,12.213830308974988,37840
0,0,0,324,297,43769,11,1,0,5,1,5,0,0,0,0,0,0,5406,8.09637439881613,96228
0,0,1,2639,3264,26638,129,1,0,15,0,4,0,2,0,0,1,1,4714,5.650827322868053,8613696
0,0,0,23,148,77,0,1,1,10,0,10,0,0,0,0,1,1,3132,0.02458492975734355,3404
0,0,0,151,92,4920,0,1,0,12,0,12,0,0,0,0,1,1,5342,0.9210033695245227,13892
0,0,1,1359,1196,142086,12,1,0,7,0,8,0,0,0,0,1,1,4918,28.89101260675071,1625364
0,0,0,5,5,33,1,0,0,14,0,16,0,0,0,0,0,0,4700,0.007021276595744681,25
0,0,1,9340,7665,1127,21,1,1,11,0,7,0,0,0,0,1,0,3953,0.2850999241082722,71591100
0,0,1,816,398,29076,86,1,0,14,0,22,0,0,0,0,1,1,4773,6.09176618478944,324768
0,0,0,1123,77,75963,39,1,0,11,0,11,0,0,0,0,0,1,4954,15.33366976180864,86471
0,0,1,50,272,2263,23,1,0,7,0,3,0,0,0,0,0,0,4772,0.4742246437552389,13600
0,0,1,10,180,44659,81,1,0,8,0,6,0,0,0,0,1,0,4811,9.282685512367491,1800
0,0,1,60,14,9903,0,1,1,11,1,19,0,0,0,0,1,0,3555,2.7856540084388186,840
0,0,0,1240,1134,81295,12,1,0,12,0,6,0,0,1,0,1,0,3911,20.7862439273843,1406160
0,0,1,407,0,2362,6,1,0,8,0,8,0,0,0,0,1,0,4964,0.475825946817083,0
0,0,1,794,503,105552,5,1,0,7,0,7,0,0,0,0,1,0,4873,21.660578698953415,399382
0,0,0,530,756,6254,1,1,0,13,0,7,0,0,0,0,1,0,3794,1.6483921982076963,400680
0,0,0,313,216,37856,7,1,0,14,0,11,0,0,0,0,1,0,4174,9.069477719214182,67608
0,0,0,701,1239,19294,10,1,1,15,0,20,0,0,0,0,1,0,4167,4.6301895848332135,868539
0,0,1,100,89,22490,0,1,0,13,0,14,0,0,0,0,1,1,4725,4.7597883597883595,8900
0,0,0,29,182,120,0,1,1,14,0,14,0,0,0,0,1,1,3153,0.038058991436726926,5278
1,0,0,145,204,5300,2,1,0,14,0,14,0,0,0,0,1,0,4875,1.087179487179487,29580
0,0,0,112,1001,91,1,1,1,13,0,13,0,0,0,0,1,1,3147,0.028916428344455035,112112
0,0,1,960,66,237732,33,1,0,10,1,9,0,0,0,0,0,0,4986,47.67990373044525,63360
0,0,1,29,148,78,0,1,1,13,0,13,0,0,0,0,1,1,3139,0.024848677922905384,4292
0,0,0,37,174,108,0,1,1,14,0,14,0,3,3,0,1,1,3141,0.034383954154727794,6438
0,0,0,32,166,101,0,1,1,12,0,12,0,0,0,0,1,1,3147,0.03209405783285669,5312
1,0,1,724,717,68014,0,1,1,9,1,9,0,0,0,0,1,0,3891,17.47982523772809,519108
0,0,1,6831,3930,104286,948,1,0,9,0,15,0,1,1,0,1,1,5623,18.546327583140673,26845830
0,0,0,82383,82379,75155,3,1,1,11,0,4,0,0,0,0,1,0,3664,20.511735807860262,6786629157
1,0,0,219,125,3527,2,1,0,11,1,19,0,0,0,0,0,0,4743,0.7436221800548176,27375
0,1,1,23299,7838,33124,1120,1,0,10,0,16,0,2,0,0,1,1,5046,6.564407451446691,182617562
0,0,1,276,398,2170,13,1,0,11,1,16,0,0,0,0,1,1,5191,0.4180312078597573,109848
0,0,0,81,744,98,0,1,1,11,0,11,0,0,0,0,1,1,3144,0.031170483460559797,60264
0,0,1,2060,2006,2802,11,1,0,15,0,16,0,0,1,0,1,0,3806,0.7362059905412507,4132360
0,0,1,795,381,16464,8,1,0,13,0,4,0,0,0,0,1,0,4928,3.340909090909091,302895
0,0,0,29,161,82,0,1,1,14,0,14,0,0,0,0,1,1,3136,0.02614795918367347,4669
0,0,1,1649,1021,16867,26,1,0,13,0,14,0,0,0,0,1,1,3820,4.41544502617801,1683629
0,0,1,1366,1030,40820,41,1,0,10,0,11,0,0,0,0,1,0,4072,10.024557956777995,1406980
0,0,0,58,169,3150,25,1,1,11,0,11,0,0,0,0,1,1,3151,0.999682640431609,9802
0,0,0,867,669,20325,5,1,1,8,0,10,0,0,0,0,1,1,4084,4.976738491674829,580023
1,0,1,268,619,67982,31,1,0,7,0,14,0,0,0,0,1,1,5048,13.467115689381933,165892
