protected,verified,location,followers_count,following_count,tweet_count,listed_count,has_profile_image,un_no_of_char,un_special_char,name_no_of_char,name_special_char,des_no_of_usertags,des_no_of_hashtags,des_external_links,has_description,has_url,isBot
1,0,1,-0.19412890342035807,-0.2486053800871143,-0.38087494576372266,-0.20349997420887775,1,-0.2868611055017014,1,-1.8098185430450842,0,-0.3032221850577562,0.4200265117648842,0,1,0,0
1,0,0,-0.19423732807128757,-0.2467775856448788,-0.41979340742984556,-0.23038573722479516,1,-2.1299291616409293,0,0.44977949995661226,0,-0.3032221850577562,-0.31299496262369464,1,1,0,1
0,0,1,-0.19472523900047037,-0.24849114293447458,-0.420702553883861,-0.23038573722479516,1,-1.3927019391852382,0,-0.002140108643726989,0,-0.3032221850577562,-0.31299496262369464,1,1,0,1
0,0,1,-0.18439779099943454,-0.055316117820711046,-0.30389471812853,-0.19965915092088954,1,-1.0240883279573927,0,-1.0566191953778519,0,-0.3032221850577562,0.4200265117648842,0,1,0,0
0,0,0,-0.1925025336564154,-0.2311270957332374,-0.394459691816992,-0.22654491393680698,1,0.45036611695398987,0,-1.5085388039781913,0,0.9125452468035637,-0.31299496262369464,1,1,1,0
0,0,1,-0.1819311301907882,-0.15675870936478084,0.5765786554141242,-0.12284268516112547,1,0.8189797281818355,0,-0.002140108643726989,0,-0.3032221850577562,-0.31299496262369464,0,1,1,0
0,0,0,-0.19453549586134372,-0.27465145088897003,-0.42038784934208645,-0.23038573722479516,1,-1.0240883279573927,0,0.14849976088971945,0,-0.3032221850577562,-0.31299496262369464,1,1,0,1
0,0,1,-0.1949420883023294,-0.27465145088897003,-0.42075500464082344,-0.23038573722479516,1,0.45036611695398987,0,-0.15277997817717343,0,-0.3032221850577562,-0.31299496262369464,1,1,0,1
0,0,1,-0.19320729388745722,-0.2613999411827627,-0.07003427641870982,-0.21118162078485414,1,0.08175250572614423,1,-1.8098185430450842,0,-0.3032221850577562,-0.31299496262369464,0,1,0,0
0,0,0,-0.18873477703661493,-0.24517826550792274,-0.38190647731731714,-0.21886326736083056,1,-1.0240883279573927,0,-0.002140108643726989,0,-0.3032221850577562,-0.31299496262369464,0,1,0,0
0,0,1,-0.19258385214461254,-0.23089862142795797,-0.306464805219689,-0.22270409064881877,1,1.1875933394096811,0,-1.5085388039781913,0,-0.3032221850577562,-0.31299496262369464,0,1,0,0
0,0,1,-0.18109083914608448,-0.24038030509705458,-0.038004347500319384,-0.1650917413289957,1,0.45036611695398987,1,-0.15277997817717343,0,-0.3032221850577562,-0.31299496262369464,0,1,0,0
0,0,1,-0.1801150172877189,-0.22381591796429542,-0.13325492214409182,-0.08059362899325523,1,-0.2868611055017014,0,2.1068180648245227,1,0.9125452468035637,-0.31299496262369464,0,1,1,0
0,0,0,-0.1939662664439638,-0.22781421830668558,-0.419478702888071,-0.23038573722479516,1,0.45036611695398987,1,0.6004193694900587,0,-0.3032221850577562,-0.31299496262369464,1,1,0,1
0,1,1,-0.03303697830183844,0.021108537295260445,0.5494441304788938,0.23435388062177748,1,0.45036611695398987,0,-0.9059793258444055,0,-0.3032221850577562,-0.31299496262369464,0,1,1,0
0,0,1,-0.19499630062779413,-0.27339484220993315,-0.42091235691171075,-0.23038573722479516,1,-0.2868611055017014,0,-1.5085388039781913,0,-0.3032221850577562,-0.31299496262369464,0,1,0,1
0,0,1,-0.19450838969861134,-0.23535387038090697,-0.42031791499946985,-0.23038573722479516,1,-0.2868611055017014,0,-0.7553394563109591,0,-0.3032221850577562,-0.31299496262369464,0,0,0,1
0,0,0,-0.19488787597686463,-0.27465145088897003,-0.4204927508560113,-0.23038573722479516,1,-1.3927019391852382,0,0.44977949995661226,0,-0.3032221850577562,-0.31299496262369464,1,1,0,1
0,0,0,-0.19499630062779413,-0.27465145088897003,-0.4205976523699361,-0.23038573722479516,1,-1.0240883279573927,0,0.2991396304231659,0,-0.3032221850577562,-0.31299496262369464,1,1,0,1
0,0,0,-0.17569671276234133,-0.19514239265172617,-0.1528889888336947,-0.17277338790497213,1,0.8189797281818355,0,-0.9059793258444055,0,-0.3032221850577562,-0.31299496262369464,0,1,0,0
0,0,0,-0.1932344000501896,-0.27465145088897003,-0.4173457054382655,-0.23038573722479516,1,-1.0240883279573927,0,0.14849976088971945,0,-0.3032221850577562,-0.31299496262369464,1,1,0,1
0,0,1,-0.18607837308884193,-0.20268204472594756,0.1600671943754695,-0.20734079749686596,1,0.8189797281818355,0,0.6004193694900587,0,-0.3032221850577562,-0.31299496262369464,0,1,0,0
0,0,1,-0.19166224261171172,-0.22838540406988417,-0.18755893918586075,-0.22654491393680698,1,0.8189797281818355,1,-0.9059793258444055,0,-0.3032221850577562,-0.31299496262369464,0,1,1,0
0,0,1,-0.09608591281734856,-0.13573907327907267,0.7617997618341178,0.39950928200527025,1,1.1875933394096811,0,0.2991396304231659,0,0.9125452468035637,-0.31299496262369464,0,1,1,0
0,0,0,-0.19491498213959702,-0.27465145088897003,-0.420580168784282,-0.23038573722479516,1,-0.655474716729547,0,-0.002140108643726989,0,-0.3032221850577562,-0.31299496262369464,1,1,0,1
0,0,0,-0.19442707121041422,-0.2506616488346292,-0.41509032288888104,-0.23038573722479516,1,0.08175250572614423,1,-0.002140108643726989,0,-0.3032221850577562,2.619090934930621,0,1,0,0
0,0,1,-0.16656193592153012,-0.23192675580171543,-0.08424843155552829,-0.22270409064881877,1,1.5562069506375267,0,-0.45405971724406624,0,-0.3032221850577562,-0.31299496262369464,0,1,1,0
0,0,1,-0.18100952065788734,-0.09152929520750172,-0.18063543926682002,-0.23038573722479516,1,0.45036611695398987,0,-1.0566191953778519,0,-0.3032221850577562,1.8860694605420418,0,1,0,0
0,0,0,-0.19472523900047037,-0.27465145088897003,-0.41967102233026654,-0.23038573722479516,1,0.45036611695398987,0,0.2991396304231659,0,-0.3032221850577562,-0.31299496262369464,1,1,0,1
0,0,0,-0.19496919446506175,-0.27465145088897003,-0.420947324083019,-0.23038573722479516,1,-1.3927019391852382,0,0.44977949995661226,0,-0.3032221850577562,-0.31299496262369464,1,1,0,1
0,0,1,-0.17786520578093154,-0.19114409230933602,0.9680536217960457,-0.20734079749686596,1,0.8189797281818355,1,-1.3578989344447447,0,-0.3032221850577562,-0.31299496262369464,0,1,1,0
0,0,0,-0.1937223109793724,-0.27465145088897003,-0.413744086793512,-0.23038573722479516,1,0.8189797281818355,1,-0.002140108643726989,0,-0.3032221850577562,-0.31299496262369464,1,1,1,1
0,0,1,-0.060495521149736865,0.16915988711633526,1.2201669269287916,0.019267776494438067,1,0.08175250572614423,0,-1.0566191953778519,0,-0.3032221850577562,-0.31299496262369464,0,1,1,0
0,0,1,-0.18634943471616572,-0.1878312148827842,-0.40596389117741827,-0.19965915092088954,1,1.5562069506375267,0,1.2029788476238443,0,-0.3032221850577562,0.4200265117648842,0,1,1,0
0,0,0,-0.19491498213959702,-0.27465145088897003,-0.420090628385966,-0.23038573722479516,1,1.5562069506375267,0,0.14849976088971945,0,-0.3032221850577562,-0.31299496262369464,1,1,0,1
0,0,1,0.25003267911238003,1.5256118375603496,7.161666290533255,0.526256450508881,1,-0.2868611055017014,0,0.44977949995661226,0,-0.3032221850577562,1.153047986153463,1,1,0,1
0,0,1,-0.18632232855343334,-0.1390519507056245,-0.27770430681862335,-0.22270409064881877,1,-1.3927019391852382,0,-0.6046995867775127,0,-0.3032221850577562,0.4200265117648842,0,1,0,0
0,0,1,-0.19185198575083834,-0.2430077596077681,-0.376521532935841,-0.21886326736083056,1,-0.655474716729547,0,-1.5085388039781913,0,0.9125452468035637,-0.31299496262369464,0,1,0,0
0,0,1,-0.1710615589351048,0.1374019586824936,-0.0927454541834419,-0.20734079749686596,1,0.8189797281818355,0,4.667695846893112,0,2.1283126786648836,4.818155358096357,0,1,1,0
0,1,0,-0.17141393905062569,-0.16886784754459097,0.03121316810443375,-0.18045503448094852,1,0.08175250572614423,0,-0.45405971724406624,0,0.9125452468035637,-0.31299496262369464,1,1,1,0
0,0,0,-0.19472523900047037,-0.27465145088897003,-0.41979340742984556,-0.23038573722479516,1,-0.655474716729547,0,-0.15277997817717343,0,-0.3032221850577562,-0.31299496262369464,1,1,0,1
0,0,1,-0.1788681338020295,-0.15744413228061915,-0.2966914808390229,-0.21118162078485414,1,1.1875933394096811,0,0.14849976088971945,0,-0.3032221850577562,0.4200265117648842,0,1,0,0
0,0,1,-0.18233772263177384,-0.22758574400140613,0.29514537713938027,-0.20349997420887775,1,0.45036611695398987,0,-0.002140108643726989,0,-0.3032221850577562,-0.31299496262369464,0,1,0,0
0,0,1,-0.1928820199346687,-0.25043317452934977,-0.13016032748330847,-0.14588762488905468,1,-0.655474716729547,1,-0.6046995867775127,0,-0.3032221850577562,-0.31299496262369464,0,1,0,0
0,0,0,-0.1943186465594847,-0.23718166482314246,-0.42024798065685326,-0.23038573722479516,1,0.08175250572614423,0,-0.9059793258444055,0,-0.3032221850577562,-0.31299496262369464,0,0,0,1
0,0,0,-0.1949420883023294,-0.27465145088897003,-0.4208599061547483,-0.23038573722479516,1,-1.0240883279573927,0,-0.30341984771061986,0,-0.3032221850577562,-0.31299496262369464,1,1,0,1
1,0,1,-0.1711699835860343,-0.215476605821596,0.8273457244515008,-0.18813668105692494,1,0.08175250572614423,0,-0.45405971724406624,0,0.9125452468035637,-0.31299496262369464,0,1,1,0
0,0,0,-0.1937223109793724,-0.2516897832083867,-0.38082249500676024,-0.23038573722479516,1,0.8189797281818355,0,-1.2072590649112984,0,-0.3032221850577562,-0.31299496262369464,0,0,1,0
0,0,1,-0.12278548310874042,-0.0844465917438392,0.07235204514863282,-0.03834457282538499,1,-0.2868611055017014,0,0.44977949995661226,0,8.207149837971484,-0.31299496262369464,0,1,1,0
0,0,1,-0.14083818748850385,-0.1998261159099546,0.29594962207947084,0.09224341896621394,1,0.08175250572614423,0,1.5042585866907372,0,-0.3032221850577562,-0.31299496262369464,0,1,1,0
0,0,1,-0.137043324705971,-0.07142355634291132,0.4232301256416337,0.18442317787793083,1,-1.3927019391852382,0,-0.002140108643726989,0,-0.3032221850577562,-0.31299496262369464,0,0,1,0
0,0,0,-0.1735553259064835,-0.23592505614410555,-0.38244846847259556,-0.1382059783130783,1,1.1875933394096811,0,0.2991396304231659,0,-0.3032221850577562,-0.31299496262369464,0,1,0,0
0,1,1,2.571133393885867,-0.23626776760202473,0.555196230159107,3.41455556307601,1,-0.2868611055017014,0,0.7510592390235051,0,-0.3032221850577562,-0.31299496262369464,0,1,1,0
0,0,1,-0.17534433264682045,-0.16486954720220082,-0.3916798016979832,-0.1382059783130783,1,1.1875933394096811,0,2.408097803891416,0,-0.3032221850577562,-0.31299496262369464,0,1,1,0
0,0,0,-0.19477945132593513,-0.27465145088897003,-0.4200556612146577,-0.23038573722479516,1,0.08175250572614423,0,0.44977949995661226,0,-0.3032221850577562,-0.31299496262369464,1,1,0,1
0,1,1,5.818451689224695,-0.17252343642906195,-0.29225065008287054,2.999746647973284,1,-1.761315550413084,0,-1.0566191953778519,0,-0.3032221850577562,-0.31299496262369464,0,1,1,0
0,0,0,-0.19472523900047037,-0.27465145088897003,-0.4205626851986279,-0.23038573722479516,1,1.1875933394096811,0,-0.45405971724406624,0,-0.3032221850577562,-0.31299496262369464,1,1,0,1
0,0,1,-0.1833406506528718,-0.1778925826031287,-0.02174461284196616,-0.21886326736083056,1,-0.655474716729547,0,-0.9059793258444055,0,-0.3032221850577562,-0.31299496262369464,0,1,0,0
0,0,1,-0.18664760250622187,-0.24654911133959936,-0.36837418202101024,-0.1650917413289957,1,-0.2868611055017014,0,0.14849976088971945,0,-0.3032221850577562,0.4200265117648842,0,1,1,0
0,0,0,-0.19496919446506175,-0.27465145088897003,-0.4206151359555903,-0.23038573722479516,1,0.08175250572614423,0,-0.15277997817717343,0,-0.3032221850577562,-0.31299496262369464,0,0,0,1
0,0,1,-0.1949420883023294,-0.27465145088897003,-0.420457783684703,-0.23038573722479516,1,-0.2868611055017014,1,0.14849976088971945,0,-0.3032221850577562,-0.31299496262369464,1,1,1,1
0,0,0,-0.1603275184930833,-0.2310128585805977,-0.3817840922177381,-0.06523033584130242,1,0.45036611695398987,0,-0.002140108643726989,0,-0.3032221850577562,2.619090934930621,0,1,1,0
0,0,0,-0.1928820199346687,-0.27465145088897003,-0.4164540425699042,-0.22654491393680698,1,-0.2868611055017014,0,0.6004193694900587,0,-0.3032221850577562,-0.31299496262369464,1,1,0,1
0,1,1,0.06332543021176366,-0.03315411020860571,-0.37431860114341897,0.4686441011890579,1,0.45036611695398987,0,-0.002140108643726989,0,3.3440801105262037,-0.31299496262369464,0,1,0,0
0,0,1,-0.08020170145617533,-2.5335943087426472e-05,-0.2561295621214106,0.0576760093743201,1,-0.655474716729547,0,-0.15277997817717343,0,-0.3032221850577562,4.085133883707778,0,1,0,0
0,0,0,-0.19388494795576666,-0.21684745165327263,-0.40830669165507344,-0.22654491393680698,1,-0.2868611055017014,1,-0.45405971724406624,0,-0.3032221850577562,-0.31299496262369464,0,1,0,0
0,0,1,-0.19458970818680849,-0.27465145088897003,-0.4180100816931229,-0.23038573722479516,1,0.45036611695398987,0,-0.30341984771061986,0,-0.3032221850577562,-0.31299496262369464,1,1,0,1
0,1,1,0.23146495764070144,0.0985613267849894,1.6892690136151092,0.5761871532527276,1,0.45036611695398987,0,0.2991396304231659,0,8.207149837971484,-0.31299496262369464,0,1,1,0
0,0,1,-0.17469378474124336,-0.18623189474582813,-0.33211322537431714,-0.22654491393680698,1,-0.2868611055017014,0,-1.0566191953778519,0,-0.3032221850577562,-0.31299496262369464,0,1,0,0
0,0,0,-0.16428501825201042,-0.03361105881916458,-0.4003341765967841,-0.21118162078485414,1,-0.655474716729547,0,-0.15277997817717343,0,2.1283126786648836,0.4200265117648842,0,1,1,0
0,0,1,-0.15750847756891603,-0.02435784945534741,-0.3989529733301068,-0.19197750434491315,1,0.08175250572614423,1,-0.45405971724406624,0,0.9125452468035637,-0.31299496262369464,0,1,0,0
0,0,0,-0.1922856843545564,-0.1491048201379197,-0.37779783468859346,-0.23038573722479516,1,1.5562069506375267,1,0.2991396304231659,0,-0.3032221850577562,-0.31299496262369464,0,1,0,0
0,0,1,-0.18727104424906654,-0.19491391834644672,-0.20848679121387023,-0.18813668105692494,1,1.5562069506375267,0,0.14849976088971945,0,-0.3032221850577562,-0.31299496262369464,0,1,1,0
0,0,1,-0.18282563356095663,-0.1897732464776594,-0.33319720768487404,-0.18429585776893673,1,1.1875933394096811,0,0.14849976088971945,0,-0.3032221850577562,-0.31299496262369464,0,1,1,0
0,0,1,-0.18954796191858625,-0.2516897832083867,-0.22107497288485337,-0.22270409064881877,1,0.45036611695398987,1,-0.9059793258444055,0,-0.3032221850577562,-0.31299496262369464,0,1,0,0
1,0,1,-0.19220436586635925,-0.2502047002240703,-0.4150029049606103,-0.22270409064881877,1,1.5562069506375267,0,1.052338978090398,0,-0.3032221850577562,-0.31299496262369464,0,1,1,0
0,0,1,-0.19084905772974037,-0.2291850641383622,-0.22159948045447767,-0.22270409064881877,1,0.08175250572614423,0,1.2029788476238443,0,-0.3032221850577562,-0.31299496262369464,0,1,1,0
0,0,1,0.3996315912323716,1.7543146171450654,1.0487928203468793,0.8450447834119019,1,-1.3927019391852382,0,-0.002140108643726989,0,-0.3032221850577562,0.4200265117648842,0,1,1,0
0,0,0,-0.1821208733299148,-0.01967412619711896,0.001491072492390221,-0.19965915092088954,1,-0.2868611055017014,0,-0.30341984771061986,0,-0.3032221850577562,-0.31299496262369464,0,1,0,0
0,0,0,-0.19477945132593513,-0.27465145088897003,-0.42072003746951514,-0.23038573722479516,1,1.1875933394096811,0,0.44977949995661226,0,-0.3032221850577562,-0.31299496262369464,1,1,0,1
0,1,1,21.904712387405066,-0.11951739760423269,-0.03272430463276812,7.531918127799365,1,0.8189797281818355,0,0.14849976088971945,0,-0.3032221850577562,-0.31299496262369464,0,1,1,0
0,0,1,-0.1808197775187607,-0.18634613189846785,-0.3224273189219218,-0.17277338790497213,1,-1.3927019391852382,0,-0.15277997817717343,0,-0.3032221850577562,-0.31299496262369464,0,1,1,0
0,0,1,-0.19385784179303428,-0.27465145088897003,-0.4189716789041008,-0.23038573722479516,1,0.45036611695398987,0,0.6004193694900587,0,-0.3032221850577562,-0.31299496262369464,1,1,0,1
0,0,1,-0.17680806543436883,-0.1070655479665034,0.7290180387325992,-0.20349997420887775,1,-2.1299291616409293,0,-0.6046995867775127,0,-0.3032221850577562,-0.31299496262369464,0,1,1,0
0,0,1,-0.17951868170760657,-0.11369130281960706,-0.20434318141383828,-0.09595692214520804,1,1.5562069506375267,0,-0.9059793258444055,1,-0.3032221850577562,-0.31299496262369464,0,1,1,0
0,0,1,-0.13782940342520994,-0.23752437628106163,-0.17939410468537587,0.04231271622236729,1,1.5562069506375267,0,-0.15277997817717343,0,-0.3032221850577562,-0.31299496262369464,1,1,1,0
1,0,1,-0.19415600958309043,-0.25294639188742357,-0.40944312472259276,-0.22270409064881877,1,-0.655474716729547,0,-0.9059793258444055,0,-0.3032221850577562,-0.31299496262369464,0,0,0,0
1,0,1,-0.19486076981413225,-0.27465145088897003,-0.4205277180273196,-0.23038573722479516,1,1.1875933394096811,0,0.7510592390235051,0,-0.3032221850577562,-0.31299496262369464,1,1,0,1
0,0,1,0.17825556019704436,0.4055165559279123,7.981086982971641,0.37646434227734105,1,1.1875933394096811,0,0.14849976088971945,0,-0.3032221850577562,-0.31299496262369464,0,1,1,0
0,0,1,-0.16986888777488018,0.04761155670767508,0.9118788610892834,-0.19965915092088954,1,-1.0240883279573927,1,0.44977949995661226,0,-0.3032221850577562,-0.31299496262369464,0,1,0,0
0,0,1,-0.17797363043186107,-0.22095998914830248,-0.409722862093059,-0.18429585776893673,1,0.8189797281818355,0,0.6004193694900587,0,-0.3032221850577562,-0.31299496262369464,0,1,0,0
0,0,1,-0.07169036635820879,-0.17503665378713576,0.572400078442784,0.01158612991846166,1,-0.655474716729547,1,-0.6046995867775127,0,-0.3032221850577562,-0.31299496262369464,0,1,1,0
0,0,0,-0.1715494698642876,-0.23649624190730414,-0.1146174198367751,-0.21118162078485414,1,0.45036611695398987,0,0.14849976088971945,0,-0.3032221850577562,-0.31299496262369464,0,1,0,0
0,0,1,0.07601111437051634,0.966763686846848,0.6577724271919655,3.664209076795243,1,0.08175250572614423,0,3.3119370210920946,1,-0.3032221850577562,0.4200265117648842,1,1,1,0
0,0,1,-0.15100299851314541,-0.1720664878185031,-0.03643082479144649,-0.21118162078485414,1,-0.2868611055017014,1,-0.002140108643726989,0,-0.3032221850577562,-0.31299496262369464,0,1,1,0
0,0,1,-0.18374724309385748,-0.20428136486290363,-0.18103756173686533,-0.13052433173710187,1,0.8189797281818355,0,-1.2072590649112984,0,0.9125452468035637,-0.31299496262369464,0,1,0,0
0,0,1,-0.1939662664439638,-0.23409726170187006,-0.41619178878509205,-0.23038573722479516,1,1.1875933394096811,1,1.3536187171572909,0,-0.3032221850577562,-0.31299496262369464,0,1,0,0
0,0,1,-0.17312162730276548,-0.14613465416928703,0.24274707093391296,-0.1766142111929603,1,0.8189797281818355,0,-0.30341984771061986,0,-0.3032221850577562,-0.31299496262369464,0,1,1,0
0,0,1,-0.1941017972576257,-0.2022250961153887,-0.40884868281035186,-0.23038573722479516,1,-1.0240883279573927,0,0.6004193694900587,0,-0.3032221850577562,-0.31299496262369464,0,0,0,0
0,0,1,-0.16425791208927804,-0.16635463018651717,0.20223760297326304,-0.21118162078485414,1,-1.3927019391852382,0,0.9016991085569516,0,-0.3032221850577562,-0.31299496262369464,0,1,0,0
0,0,1,-0.18670181483168663,-0.24323623391304752,-0.2624586201282104,-0.21118162078485414,1,0.08175250572614423,0,0.14849976088971945,0,-0.3032221850577562,-0.31299496262369464,0,1,1,0
0,0,1,-0.19244832133095066,-0.2530606290400633,-0.4117159908576314,-0.22654491393680698,1,0.08175250572614423,0,-0.7553394563109591,0,2.1283126786648836,-0.31299496262369464,0,1,1,0
0,0,1,-0.11180748720212752,-0.1685251360866718,-0.34562803708496986,0.25739882034970674,1,0.45036611695398987,0,-0.7553394563109591,0,-0.3032221850577562,-0.31299496262369464,0,1,1,0
0,0,0,1.1765213213050438,-0.17857800551896702,-0.08914383553868839,0.20746811760586004,1,-0.655474716729547,0,0.2991396304231659,0,-0.3032221850577562,-0.31299496262369464,1,1,1,0
0,0,1,-0.19434575272221707,-0.27465145088897003,-0.41979340742984556,-0.23038573722479516,1,1.5562069506375267,0,0.14849976088971945,0,-0.3032221850577562,-0.31299496262369464,1,1,0,1
0,0,1,-0.1941017972576257,-0.24312199676040783,-0.41974095667288314,-0.23038573722479516,1,-2.1299291616409293,0,0.14849976088971945,0,-0.3032221850577562,-0.31299496262369464,1,1,0,1
0,0,0,-0.19486076981413225,-0.27465145088897003,-0.420457783684703,-0.23038573722479516,1,1.1875933394096811,0,0.14849976088971945,0,-0.3032221850577562,-0.31299496262369464,1,1,0,1
0,1,0,9.825013602697418,-0.23843827350217936,0.006473894403821048,5.235105801582419,1,0.45036611695398987,0,-0.002140108643726989,0,0.9125452468035637,1.153047986153463,0,1,1,0
0,0,0,-0.1940746910948933,-0.27465145088897003,-0.41995075970073287,-0.23038573722479516,1,-0.2868611055017014,0,-0.002140108643726989,0,-0.3032221850577562,-0.31299496262369464,1,1,0,1
0,0,1,-0.1900087666850367,-0.23958064502857654,-0.3028631865749355,-0.21886326736083056,1,1.1875933394096811,1,-1.6591786735116376,0,-0.3032221850577562,-0.31299496262369464,0,0,0,0
0,0,1,-0.18464174646402592,0.00043161266747144644,-0.3913126463992462,0.08456177239023753,1,-1.3927019391852382,0,-0.30341984771061986,0,-0.3032221850577562,-0.31299496262369464,0,1,0,0
0,0,0,-0.02433590006474525,0.04521257650224099,0.2865784201688501,2.150924701327891,1,1.5562069506375267,0,1.2029788476238443,1,2.1283126786648836,-0.31299496262369464,0,1,1,0
0,0,1,-0.19185198575083834,-0.2123922027003236,-0.375542452139209,-0.20734079749686596,1,1.5562069506375267,0,-1.2072590649112984,0,-0.3032221850577562,-0.31299496262369464,0,0,1,0
0,0,1,-0.1855362498341944,0.23210455822082002,-0.3499639663271974,-0.21502244407284235,1,0.08175250572614423,1,0.2991396304231659,0,-0.3032221850577562,-0.31299496262369464,0,1,1,0
0,1,1,-0.11392176789525296,-0.2637989213881968,0.04633646969526766,-0.08827527556923163,1,-1.0240883279573927,0,-0.15277997817717343,0,-0.3032221850577562,-0.31299496262369464,0,0,0,0
0,1,1,0.48932588371380886,-0.16075700970717097,1.9081110552480203,2.980542531533343,1,-2.4985427728687752,0,-0.30341984771061986,0,2.1283126786648836,-0.31299496262369464,0,1,1,0
0,1,1,0.17473175904183527,1.4395912616226416,-0.008072448860426138,0.019267776494438067,1,1.1875933394096811,0,-0.30341984771061986,0,3.3440801105262037,-0.31299496262369464,0,1,1,0
0,0,0,-0.1945626020240761,-0.27465145088897003,-0.41963605515895824,-0.23038573722479516,1,0.08175250572614423,0,0.2991396304231659,0,-0.3032221850577562,-0.31299496262369464,1,1,1,1
0,0,1,-0.1832322260019423,-0.12602891530469662,0.7118491576202305,-0.16893256461698392,1,-0.655474716729547,0,0.44977949995661226,0,-0.3032221850577562,-0.31299496262369464,0,1,0,0
0,1,1,0.07994150796671108,-0.17937766558744506,-0.2309531987794443,0.41871339844521127,1,-0.2868611055017014,0,-0.002140108643726989,0,-0.3032221850577562,-0.31299496262369464,0,1,1,0
0,0,1,-0.17615751752879177,-0.12854213266277043,0.1962757002652002,-0.20349997420887775,1,1.1875933394096811,0,-0.30341984771061986,0,0.9125452468035637,-0.31299496262369464,0,1,1,0
0,0,1,-0.16997731242580968,-0.11277740559848931,0.2919633645503262,-0.19965915092088954,1,-0.2868611055017014,0,0.14849976088971945,0,-0.3032221850577562,-0.31299496262369464,0,1,0,0
0,0,1,0.5655213071545221,-0.16018582394397238,0.12036197135491018,0.6376403258605389,1,1.5562069506375267,0,1.9561781952910766,1,2.1283126786648836,-0.31299496262369464,0,1,1,0
0,0,1,-0.1910659070315994,-0.09712691568684792,-0.33996335533302746,-0.22654491393680698,1,1.5562069506375267,0,0.7510592390235051,0,-0.3032221850577562,-0.31299496262369464,0,0,0,0
